Date,NO2 [µg/m³]
2000-01-01,41.934
2000-01-02,44.515
2000-01-03,57.342
2000-01-04,65.238
2000-01-05,64.973
2000-01-06,58.433
2000-01-07,51.535
2000-01-08,44.976
2000-01-09,43.727
2000-01-10,49.105
2000-01-11,50.276
2000-01-13,54.2
2000-01-14,56.304
2000-01-15,52.428
2000-01-16,46.811
2000-01-17,56.86
2000-01-19,83.811
2000-01-20,61.55
2000-01-21,42.244
2000-01-22,22.443
2000-01-23,24.45
2000-01-24,55.451
2000-01-25,71.671
2000-01-26,72.391
2000-01-27,85.449
2000-01-28,82.254
2000-01-29,37.059
2000-01-30,12.272
2000-01-31,56.178
2000-02-03,54.782
2000-02-04,61.82
2000-02-05,56.092
2000-02-06,49.977
2000-02-07,49.74
2000-02-08,31.028
2000-02-11,55.727
2000-02-12,45.94
2000-02-13,37.944
2000-02-14,50.702
2000-02-15,48.853
2000-02-16,33.693
2000-02-17,39.909
2000-02-18,49.796
2000-02-19,20.168
2000-02-20,34.643
2000-02-21,50.72
2000-02-22,55.691
2000-02-23,58.271
2000-02-24,55.423
2000-02-25,43.042
2000-02-26,38.13
2000-02-27,34.854
2000-02-28,42.653
2000-02-29,48.111
2000-03-01,38.73
2000-03-02,32.322
2000-03-03,30.117
2000-03-04,27.625
2000-03-05,43.243
2000-03-06,58.833
2000-03-07,61.215
2000-03-08,53.044
2000-03-09,46.034
2000-03-11,36.799
2000-03-12,37.219
2000-03-13,53.027
2000-03-14,45.526
2000-03-15,50.0
2000-03-16,43.442
2000-03-17,43.404
2000-03-18,36.712
2000-03-19,30.217
2000-03-20,57.498
2000-03-21,56.839
2000-03-22,62.923
2000-03-23,66.001
2000-03-28,53.479
2000-03-29,43.668
2000-03-30,47.009
2000-03-31,71.311
2000-04-01,51.627
2000-04-02,48.421
2000-04-03,80.712
2000-04-04,65.362
2000-04-05,39.856
2000-04-06,58.989
2000-04-07,70.07
2000-04-08,56.417
2000-04-09,48.887
2000-04-10,63.752
2000-04-11,60.509
2000-04-12,38.392
2000-04-13,59.496
2000-04-14,70.739
2000-04-15,49.945
2000-04-16,48.263
2000-04-17,66.81
2000-04-18,66.778
2000-04-19,61.624
2000-04-20,70.405
2000-04-21,50.506
2000-04-22,63.661
2000-04-23,39.948
2000-04-24,25.05
2000-04-25,63.225
2000-04-26,72.466
2000-04-27,86.824
2000-04-28,54.412
2000-04-29,34.229
2000-04-30,43.335
2000-05-01,46.963
2000-05-02,65.564
2000-05-03,66.547
2000-05-04,79.067
2000-05-05,73.648
2000-05-06,56.098
2000-05-07,52.109
2000-05-08,68.339
2000-05-10,83.665
2000-05-11,77.423
2000-05-12,67.05
2000-05-13,52.889
2000-05-14,49.189
2000-05-15,85.703
2000-05-16,78.413
2000-05-17,67.051
2000-05-18,40.743
2000-05-19,35.986
2000-05-20,41.617
2000-05-21,29.968
2000-05-22,39.218
2000-05-23,67.883
2000-05-24,75.635
2000-05-25,54.339
2000-05-26,56.692
2000-05-27,27.649
2000-05-28,26.94
2000-05-29,43.7
2000-05-30,57.274
2000-05-31,39.683
2000-06-01,44.239
2000-06-02,76.345
2000-06-03,65.378
2000-06-04,61.972
2000-06-05,77.344
2000-06-06,40.25
2000-06-07,65.247
2000-06-08,78.93
2000-06-09,87.772
2000-06-10,56.819
2000-06-11,18.442
2000-06-12,30.809
2000-06-13,58.786
2000-06-14,72.125
2000-06-15,33.988
2000-06-16,66.374
2000-06-17,63.288
2000-06-18,63.929
2000-06-19,99.824
2000-06-20,105.106
2003-01-01,34.41
2003-01-07,56.02
2003-01-08,48.965
2003-01-09,53.444
2003-01-10,57.382
2003-01-11,42.633
2003-01-12,46.293
2003-01-13,70.024
2003-01-14,65.271
2003-01-15,62.747
2003-01-16,62.107
2003-01-17,62.75
2003-01-18,59.258
2003-01-19,47.515
2003-01-20,63.014
2003-01-21,60.612
2003-01-22,72.611
2003-01-23,67.909
2003-01-24,70.155
2003-01-25,53.026
2003-01-26,43.205
2003-01-27,60.794
2003-01-28,63.325
2003-01-29,67.854
2003-01-30,69.602
2003-01-31,64.497
2003-02-01,54.153
2003-02-02,54.332
2003-02-03,76.769
2003-02-04,79.219
2003-02-05,65.24
2003-02-06,68.172
2003-02-07,75.55
2003-02-08,67.388
2003-02-09,47.627
2003-02-10,62.106
2003-02-11,66.6
2003-02-12,60.556
2003-02-13,63.541
2003-02-14,67.412
2003-02-15,60.85
2003-02-16,48.004
2003-02-17,57.431
2003-02-18,72.471
2003-02-19,81.209
2003-02-20,85.82
2003-02-21,87.48
2003-02-22,75.607
2003-02-23,67.007
2003-02-24,81.733
2003-02-25,86.643
2003-02-26,100.089
2003-02-27,102.455
2003-02-28,95.613
2003-03-01,81.942
2003-03-02,51.476
2003-03-03,70.202
2003-03-04,69.447
2003-03-05,73.21
2003-03-06,72.593
2003-03-07,63.073
2003-03-08,63.58
2003-03-09,64.532
2003-03-10,83.257
2003-03-11,92.766
2003-03-12,89.615
2003-03-13,60.171
2003-03-14,63.751
2003-03-15,49.259
2003-03-16,39.098
2003-03-17,78.842
2003-03-18,74.335
2003-03-19,83.119
2003-03-20,78.116
2003-03-21,73.19
2003-03-22,60.298
2003-03-23,57.364
2003-03-24,97.34
2003-03-25,104.437
2003-03-26,94.437
2003-03-27,105.784
2003-03-28,96.17
2003-03-29,65.013
2003-03-30,48.302
2003-03-31,67.308
2003-04-01,78.356
2003-04-02,68.928
2003-04-03,61.893
2003-04-04,72.498
2003-04-05,52.464
2003-04-06,33.892
2003-04-07,61.408
2003-04-08,69.992
2003-04-09,78.069
2003-04-10,79.508
2003-04-11,72.506
2003-04-12,59.488
2003-04-13,40.146
2003-04-14,77.946
2003-04-15,73.789
2003-04-16,77.749
2003-04-17,84.302
2003-04-18,54.599
2003-04-19,50.742
2003-04-20,47.719
2003-04-21,46.954
2003-04-22,75.527
2003-04-23,72.78
2003-04-24,77.82
2003-04-25,87.579
2003-04-26,53.15
2003-04-27,34.852
2003-04-28,77.975
2003-04-29,67.404
2003-04-30,62.522
2003-05-01,32.564
2003-05-02,62.72
2003-05-03,37.149
2003-05-04,44.532
2003-05-05,84.115
2003-05-06,86.804
2003-05-07,71.581
2003-05-08,61.971
2003-05-09,52.315
2003-05-10,46.853
2003-05-11,33.81
2003-05-12,45.8
2003-05-13,62.517
2003-05-14,58.622
2003-05-15,68.844
2003-05-16,67.486
2003-05-17,51.889
2003-05-18,32.346
2003-05-19,42.685
2003-05-20,58.135
2003-05-21,66.966
2003-05-22,53.626
2003-05-23,46.156
2003-05-24,45.531
2003-05-25,36.964
2003-05-26,53.073
2003-05-27,53.327
2003-05-28,63.347
2003-05-29,26.747
2003-05-30,45.223
2003-05-31,46.361
2003-06-01,31.15
2003-06-02,47.674
2003-06-03,49.668
2003-06-04,61.903
2003-06-05,56.197
2003-06-06,54.976
2003-06-07,38.056
2003-06-08,28.466
2003-06-09,29.1
2003-06-10,50.252
2003-06-11,52.373
2003-06-12,53.589
2003-06-13,37.199
2003-06-14,37.661
2003-06-15,27.906
2003-06-16,46.416
2003-06-17,68.267
2003-06-18,54.362
2003-06-19,48.317
2003-06-20,30.291
2003-06-21,49.735
2003-06-22,40.518
2003-06-23,58.169
2003-06-24,46.916
2003-06-25,62.21
2003-06-26,65.531
2003-06-27,48.839
2003-06-28,46.715
2003-06-29,41.183
2003-06-30,51.344
2003-07-01,19.109
2003-07-02,24.8
2003-07-03,33.23
2003-07-04,24.829
2003-07-05,27.628
2003-07-06,28.748
2003-07-07,32.134
2003-07-08,44.745
2003-07-09,45.238
2003-07-10,35.499
2003-07-11,69.109
2003-07-12,66.758
2003-07-13,52.354
2003-07-14,78.305
2003-07-15,86.372
2003-07-16,71.841
2003-07-17,62.815
2003-07-18,69.666
2003-07-19,61.145
2003-07-20,65.635
2003-07-21,67.498
2003-07-22,76.24
2003-07-23,87.958
2003-07-24,66.417
2003-07-25,72.433
2003-07-26,49.659
2003-07-27,44.329
2003-07-28,53.172
2003-07-29,72.012
2003-07-30,75.142
2003-07-31,58.829
2003-08-01,40.685
2003-08-02,54.408
2003-08-03,51.261
2003-08-04,79.686
2003-08-05,101.657
2003-08-06,106.146
2003-08-07,90.146
2003-08-08,100.911
2003-08-09,84.564
2003-08-10,72.404
2003-08-11,104.777
2003-08-12,112.479
2003-08-13,109.319
2003-08-14,85.827
2003-08-15,84.636
2003-08-16,57.346
2003-08-17,45.857
2003-08-18,50.272
2003-08-19,59.936
2003-08-20,64.657
2003-08-21,66.581
2003-08-22,75.091
2003-08-23,59.697
2003-08-24,44.548
2003-08-25,77.708
2003-08-26,79.835
2003-08-27,79.838
2003-08-28,85.7
2003-08-29,66.177
2003-08-30,50.056
2003-08-31,38.801
2003-09-01,59.827
2003-09-02,55.538
2003-09-03,65.062
2003-09-04,66.1
2003-09-05,81.543
2003-09-06,52.795
2003-09-07,42.794
2003-09-08,65.684
2003-09-09,63.338
2003-09-10,54.863
2003-09-11,58.321
2003-09-12,59.777
2003-09-13,50.469
2003-09-14,45.414
2003-09-15,61.997
2003-09-16,83.441
2003-09-17,83.712
2003-09-18,93.597
2003-09-19,97.616
2003-09-20,85.314
2003-09-21,58.225
2003-09-22,90.751
2003-09-23,60.492
2003-09-24,59.489
2003-09-25,59.981
2003-09-26,80.086
2003-09-27,66.216
2003-09-28,39.442
2003-09-29,69.6
2003-09-30,59.212
2003-10-01,57.858
2003-10-02,57.984
2003-10-03,50.894
2003-10-04,46.196
2003-10-05,40.673
2003-10-06,59.191
2003-10-07,61.325
2003-10-08,59.954
2003-10-09,54.204
2003-10-10,52.341
2003-10-11,43.096
2003-10-12,31.821
2003-10-13,51.235
2003-10-14,51.934
2003-10-15,51.646
2003-10-16,53.001
2003-10-17,51.704
2003-10-18,40.424
2003-10-19,41.671
2003-10-20,55.417
2003-10-21,64.001
2003-10-22,51.723
2003-10-23,54.425
2003-10-24,58.873
2003-10-25,50.668
2003-10-26,46.544
2003-10-27,60.615
2003-10-28,72.245
2003-10-29,61.464
2003-10-30,54.067
2003-10-31,48.279
2003-11-01,39.907
2003-11-02,29.036
2003-11-03,56.272
2003-11-04,52.195
2003-11-05,44.364
2003-11-06,45.551
2003-11-07,44.731
2003-11-08,38.088
2003-11-09,36.332
2003-11-10,50.396
2003-11-11,48.436
2003-11-12,55.305
2003-11-13,54.557
2003-11-14,43.746
2003-11-15,36.817
2003-11-16,33.068
2003-11-17,51.013
2003-11-18,53.083
2003-11-19,53.472
2003-11-20,49.0
2003-11-21,45.937
2003-11-22,42.54
2003-11-23,37.46
2003-11-24,48.713
2003-11-25,42.976
2003-11-26,47.119
2003-11-27,54.394
2003-11-28,58.947
2003-11-29,38.121
2003-11-30,33.427
2003-12-01,47.432
2003-12-02,48.083
2003-12-03,43.503
2003-12-04,41.061
2003-12-05,48.06
2003-12-06,50.57
2003-12-07,28.945
2003-12-08,45.392
2003-12-09,51.049
2003-12-10,56.176
2003-12-11,63.327
2003-12-12,58.207
2003-12-13,45.129
2003-12-14,35.461
2003-12-15,55.878
2003-12-16,58.498
2003-12-17,60.799
2003-12-18,61.023
2003-12-19,63.095
2003-12-20,56.263
2003-12-21,34.387
2003-12-22,57.623
2003-12-23,57.716
2003-12-24,46.898
2003-12-25,44.858
2003-12-26,48.812
2003-12-27,50.99
2003-12-28,41.738
2003-12-29,55.103
2003-12-30,54.677
2003-12-31,47.56
2004-01-01,35.296
2004-01-02,37.211
2004-01-03,49.734
2004-01-04,44.875
2004-01-05,54.2
2004-01-06,61.534
2004-01-07,61.908
2004-01-08,56.371
2004-01-09,67.882
2004-01-10,47.883
2004-01-13,46.572
2004-01-14,62.948
2004-01-15,63.73
2004-01-16,65.178
2004-01-17,48.396
2004-01-18,31.687
2004-01-19,56.034
2004-01-23,55.679
2004-01-24,49.605
2004-01-25,38.647
2004-01-26,57.885
2004-01-30,67.382
2004-01-31,61.22
2004-02-01,52.492
2004-02-02,73.919
2004-02-03,78.036
2004-02-04,79.65
2004-02-05,79.579
2004-02-06,80.891
2004-02-07,47.284
2004-02-08,26.081
2004-02-09,65.493
2004-02-10,64.208
2004-02-11,67.553
2004-02-12,49.05
2004-02-13,54.687
2004-02-14,50.039
2004-02-15,41.949
2004-02-16,56.635
2004-02-17,59.543
2004-02-18,63.781
2004-02-19,54.145
