Date,Value
2008-01-01,19.96
2008-01-02,36.01
2008-01-03,11.66
2008-01-04,2.73
2008-01-05,17.29
2008-01-06,44.18
2008-01-07,32.87
2008-01-08,18.54
2008-01-09,17.67
2008-01-10,10.77
2008-01-11,13.45
2008-01-12,28.31
2008-01-13,11.87
2008-01-14,3.23
2008-01-15,9.03
2008-01-16,29.29
2008-01-17,32.75
2008-01-18,41.25
2008-01-19,37.37
2008-01-20,22.99
2008-01-21,19.24
2008-01-22,42.24
2008-01-23,17.35
2008-01-24,6.74
2008-01-25,21.09
2008-01-26,17.25
2008-01-27,8.5
2008-01-28,11.51
2008-01-29,5.79
2008-01-30,15.94
2008-01-31,22.37
2008-02-01,48.22
2008-02-02,37.46
2008-02-03,24.7
2008-02-04,23.41
2008-02-05,28.75
2008-02-06,46.91
2008-02-07,23.14
2008-02-08,14.19
2008-02-09,9.65
2008-02-10,15.81
2008-02-11,12.67
2008-02-12,9.39
2008-02-13,9.14
2008-02-14,12.43
2008-02-15,12.13
2008-02-16,31.43
2008-02-17,20.67
2008-02-18,16.94
2008-02-19,19.37
2008-02-20,18.59
2008-02-21,17.47
2008-02-22,18.47
2008-02-23,23.68
2008-02-24,25.11
2008-02-25,34.24
2008-02-26,37.42
2008-02-27,35.65
2008-02-28,15.87
2008-02-29,36.48
2008-03-01,60.33
2008-03-02,63.7
2008-03-03,39.62
2008-03-04,39.99
2008-03-05,60.15
2008-03-06,63.65
2008-03-07,40.14
2008-03-08,29.43
2008-03-09,43.51
2008-03-10,53.47
2008-03-11,61.01
2008-03-12,53.45
2008-03-13,51.28
2008-03-14,40.01
2008-03-15,28.86
2008-03-16,74.54
2008-03-17,39.06
2008-03-18,48.6
2008-03-19,31.76
2008-03-20,34.33
2008-03-21,69.54
2008-03-22,59.6
2008-03-23,60.85
2008-03-24,62.02
2008-03-25,64.02
2008-03-26,52.07
2008-04-01,37.48
2008-04-02,51.52
2008-04-03,50.44
2008-04-04,43.11
2008-04-05,53.13
2008-04-06,61.85
2008-04-07,68.34
2008-04-08,26.79
2008-04-09,17.14
2008-04-10,30.73
2008-04-11,39.51
2008-04-12,45.14
2008-04-13,58.93
2008-04-14,62.24
2008-04-15,59.52
2008-04-17,50.5
2008-04-18,29.54
2008-04-19,59.6
2008-04-20,38.42
2008-04-21,51.66
2008-04-22,59.3
2008-04-23,31.18
2008-04-24,46.21
2008-04-25,60.99
2008-04-26,56.96
2008-04-27,70.86
2008-04-28,71.91
2008-04-29,64.8
2008-04-30,44.25
2008-05-01,59.68
2008-05-02,44.57
2008-05-03,55.08
2008-05-04,59.52
2008-05-05,86.58
2008-05-06,68.35
2008-05-07,58.65
2008-05-08,59.94
2008-05-09,67.72
2008-05-10,80.5
2008-05-11,63.91
2008-05-12,64.78
2008-05-13,54.66
2008-05-14,63.3
2008-05-15,58.48
2008-05-16,54.31
2008-05-17,28.17
2008-05-18,49.57
2008-05-19,59.95
2008-05-20,66.82
2008-05-21,48.19
2008-05-22,36.58
2008-05-23,52.56
2008-05-24,42.11
2008-05-25,37.94
2008-05-26,27.83
2008-05-27,36.53
2008-05-28,43.78
2008-05-29,39.76
2008-05-30,48.48
2008-05-31,47.78
2008-06-01,37.7
2008-06-02,29.75
2008-06-03,36.22
2008-06-04,37.31
2008-06-05,26.54
2008-06-06,28.22
2008-06-07,38.68
2008-06-08,64.39
2008-06-09,62.05
2008-06-10,52.97
2008-06-11,65.45
2008-06-12,45.57
2008-06-13,57.08
2008-06-14,56.42
2008-06-15,48.36
2008-06-16,41.8
2008-06-17,27.35
2008-06-18,48.43
2008-06-19,60.17
2008-06-20,52.12
2008-06-21,59.15
2008-06-23,71.25
2008-06-24,53.78
2008-06-25,63.71
2008-06-26,78.21
2008-06-27,56.82
2008-06-28,55.38
2008-06-29,63.38
2008-06-30,58.44
2008-07-01,46.84
2008-07-03,42.79
2008-07-04,46.31
2008-07-05,53.36
2008-07-06,47.75
2008-07-07,58.27
2008-07-08,47.87
2008-07-09,53.76
2008-07-10,48.1
2008-07-11,68.2
2008-07-12,38.91
2008-07-13,52.3
2008-07-14,44.29
2008-07-15,44.54
2008-07-16,59.31
2008-07-17,37.61
2008-07-18,44.97
2008-07-19,49.26
2008-07-20,52.56
2008-07-21,50.47
2008-07-22,51.22
2008-07-23,60.73
2008-07-24,56.55
2008-07-25,55.46
2008-07-26,71.26
2008-07-27,70.2
2008-07-28,58.93
2008-07-29,57.49
2008-07-30,65.68
2008-07-31,55.89
2008-08-01,65.08
2008-08-02,56.94
2008-08-03,45.63
2008-08-04,43.89
2008-08-05,38.54
