Date,PM10 [µg/m³]
2003-01-01,23.069
2003-01-07,39.465
2003-01-08,59.359
2003-01-09,54.597
2003-01-10,81.661
2003-01-11,53.332
2003-01-12,61.965
2003-01-13,73.748
2003-01-14,54.582
2003-01-15,62.863
2003-01-16,43.658
2003-01-17,52.46
2003-01-18,61.822
2003-01-19,68.68
2003-01-20,43.512
2003-01-21,43.983
2003-01-22,28.158
2003-01-23,24.899
2003-01-24,37.018
2003-01-25,30.98
2003-01-26,31.848
2003-01-27,30.0
2003-01-28,26.628
2003-01-29,19.324
2003-01-30,22.414
2003-01-31,31.827
2003-02-01,41.215
2003-02-02,40.623
2003-02-03,23.773
2003-02-04,23.385
2003-02-05,23.593
2003-02-06,29.25
2003-02-07,40.986
2003-02-08,50.237
2003-02-09,39.825
2003-02-10,46.079
2003-02-11,38.399
2003-02-12,36.2
2003-02-13,41.269
2003-02-14,58.892
2003-02-15,64.046
2003-02-16,39.174
2003-02-17,39.562
2003-02-18,55.758
2003-02-19,69.941
2003-02-20,97.34
2003-02-21,112.036
2003-02-22,118.456
2003-02-23,110.606
2003-02-24,75.791
2003-02-25,74.184
2003-02-26,80.617
2003-02-27,66.428
2003-02-28,57.198
2003-03-01,47.645
2003-03-02,16.174
2003-03-03,19.589
2003-03-04,28.438
2003-03-05,33.025
2003-03-06,33.916
2003-03-07,23.525
2003-03-08,25.73
2003-03-09,25.761
2003-03-10,27.909
2003-03-11,34.217
2003-03-12,31.043
2003-03-13,21.028
2003-03-14,16.823
2003-03-15,21.543
2003-03-16,20.268
2003-03-17,34.705
2003-03-18,56.438
2003-03-21,55.499
2003-03-22,50.906
2003-03-23,34.976
2003-03-24,50.075
2003-03-25,53.397
2003-03-26,47.607
2003-03-27,55.725
2003-03-28,53.673
2003-03-29,40.123
2003-03-30,23.629
2003-03-31,55.216
2003-04-01,34.628
2003-04-02,14.701
2003-04-03,14.912
2003-04-04,21.837
2003-04-05,22.034
2003-04-06,18.73
2003-04-07,14.802
2003-04-08,20.887
2003-04-09,31.604
2003-04-10,43.509
2003-04-11,49.026
2003-04-12,31.462
2003-04-13,12.625
2003-04-14,22.219
2003-04-15,31.329
2003-04-16,32.087
2003-04-17,39.892
2003-04-18,28.717
2003-04-19,20.953
2003-04-20,21.257
2003-04-21,15.961
2003-04-22,18.563
2003-04-23,22.988
2003-04-24,36.114
2003-04-25,35.897
2003-04-26,22.1
2003-04-27,14.281
2003-04-28,25.168
2003-04-29,17.548
2003-04-30,21.969
2003-05-01,15.694
2003-05-02,18.29
2003-05-03,14.96
2003-05-04,16.693
2003-05-05,29.36
2003-05-06,33.721
2003-05-07,37.161
2003-05-08,47.798
2003-05-09,34.21
2003-05-10,20.76
2003-05-11,25.659
2003-05-12,17.457
2003-05-13,17.171
2003-05-14,16.034
2003-05-15,17.339
2003-05-16,20.163
2003-05-17,18.946
2003-05-18,18.361
2003-05-19,19.967
2003-05-20,15.779
2003-05-21,17.333
2003-05-22,19.933
2003-05-23,21.236
2003-05-24,23.762
2003-05-25,13.242
2003-05-26,20.639
2003-05-27,33.094
2003-05-28,29.846
2003-05-29,19.937
2003-05-30,34.99
2003-05-31,23.373
2003-06-01,21.356
2003-06-02,25.292
2003-06-03,24.202
2003-06-04,22.577
2003-06-05,24.361
2003-06-06,23.168
2003-06-07,24.659
2003-06-08,21.048
2003-06-09,23.628
2003-06-10,27.782
2003-06-11,30.502
2003-06-12,34.612
2003-06-13,24.902
2003-06-14,30.052
2003-06-15,23.148
2003-06-16,26.605
2003-06-17,29.257
2003-06-18,24.694
2003-06-19,19.247
2003-06-20,19.3
2003-07-03,12.574
2003-07-04,15.447
2003-07-05,15.305
2003-07-06,17.168
2003-07-07,24.653
2003-07-08,27.183
2003-07-09,30.812
2003-07-10,26.614
2003-07-11,25.493
2003-07-12,26.899
