Date,Traffic,PM10,NO2,O3,Traffic_interpolated,PM10_interpolated,NO2_interpolated,O3_interpolated
2013-01-31,,22.4,44.0,52.9,28245.833822162,22.4,44.0,52.9
2013-02-28,,23.6,33.3,75.4,29938.20444420457,23.6,33.3,75.4
2013-03-31,,7.3,13.3,113.7,28966.938350749053,7.3,13.3,113.7
2013-04-30,,11.5,23.6,41.7,25409.904990247003,11.5,23.6,41.7
2013-05-31,,5.7,11.3,98.0,33933.07452868547,5.7,11.3,98.0
2013-06-30,,6.7,6.6,94.6,33449.64251335438,6.7,6.6,94.6
2013-07-31,,9.4,8.1,146.4,33661.323683441406,9.4,8.1,146.4
2013-08-31,,13.0,9.3,139.4,33427.67966261417,13.0,9.3,139.4
2013-09-30,,8.5,13.0,44.0,32002.60474603728,8.5,13.0,44.0
2013-10-31,,11.6,18.8,30.8,32790.0684117119,11.6,18.8,30.8
2013-11-30,,48.4,43.8,21.6,31428.439799817872,48.4,43.8,21.6
2013-12-31,29055.64516129032,22.0,35.8,42.9,29055.64516129032,22.0,35.8,42.9
2014-01-31,27099.96774193548,21.0,50.1,17.5,27099.96774193548,21.0,50.1,17.5
2014-02-28,29168.89285714286,22.5,19.3,60.3,29168.89285714286,22.5,19.3,60.3
2014-03-31,30632.0,24.1,21.8,125.2,30632.0,24.1,21.8,125.2
2014-04-30,32338.9,4.6,10.6,92.4,32338.9,4.6,10.6,92.4
2014-05-31,31384.74193548387,7.1,7.7,114.9,31384.74193548387,7.1,7.7,114.9
2014-06-30,31505.46666666667,4.2,4.9,96.1,31505.46666666667,4.2,4.9,96.1
2014-07-31,33119.87096774193,10.6,13.0,170.3,33119.87096774193,10.6,13.0,170.3
2014-08-31,31089.22580645161,9.9,7.0,98.0,31089.22580645161,9.9,7.0,98.0
2014-09-30,32414.26666666667,,18.7,67.2,32414.26666666667,16.3340776501467,18.7,67.2
2014-10-31,32563.12903225806,33.2,30.3,66.6,32563.12903225806,33.2,30.3,66.6
2014-11-30,29862.96666666667,20.7,13.8,3.5,29862.96666666667,20.7,13.8,3.5
2014-12-31,29814.61290322581,31.3,24.7,53.6,29814.61290322581,31.3,24.7,53.6
2015-01-31,27772.9032258065,10.5,22.4,69.1,27772.9032258065,10.5,22.4,69.1
2015-02-28,29239.6071428571,7.1,12.4,72.9,29239.6071428571,7.1,12.4,72.9
2015-03-31,31647.1935483871,3.9,12.4,103.2,31647.1935483871,3.9,12.4,103.2
2015-04-30,33738.6,4.7,9.2,107.7,33738.6,4.7,9.2,107.7
2015-05-31,33611.0,13.0,10.2,93.0,33611.0,13.0,10.2,93.0
2015-06-30,33614.5,20.2,9.5,179.3,33614.5,20.2,9.5,179.3
2015-07-31,35873.3548387097,8.5,8.3,105.2,35873.3548387097,8.5,8.3,105.2
2015-08-31,32276.4516129032,17.5,12.6,116.3,32276.4516129032,17.5,12.6,116.3
2015-09-30,34227.7666666667,15.5,15.2,74.2,34227.7666666667,15.5,15.2,74.2
2015-10-31,33339.6774193548,13.7,21.4,56.9,33339.6774193548,13.7,21.4,56.9
2015-11-30,31448.7333333333,35.2,51.4,39.6,31448.7333333333,35.2,51.4,39.6
2015-12-31,30734.1612903226,47.4,37.7,6.0,30734.1612903226,47.4,37.7,6.0
2016-01-31,27470.9677419355,28.0,22.9,57.1,27470.9677419355,28.0,22.9,57.1
2016-02-29,29781.6551724138,13.1,31.6,30.3,29781.6551724138,13.1,31.6,30.3
2016-03-31,31372.2580645161,11.9,12.0,66.0,31372.2580645161,11.9,12.0,66.0
2016-04-30,,14.5,15.7,98.3,23185.544383547865,14.5,15.7,98.3
2016-05-31,33853.0333333333,5.1,11.7,79.0,33853.0333333333,5.1,11.7,79.0
2016-06-30,33366.064516129,16.2,11.1,126.2,33366.064516129,16.2,11.1,126.2
2016-07-31,33617.6333333333,9.7,6.0,110.4,33617.6333333333,9.7,6.0,110.4
2016-08-31,35308.4193548387,12.5,10.5,131.0,35308.4193548387,12.5,10.5,131.0
2016-09-30,33456.3870967742,23.5,16.3,99.7,33456.3870967742,23.5,16.3,99.7
2016-10-31,35121.7,29.2,23.8,65.7,35121.7,29.2,23.8,65.7
2016-11-30,33939.5161290323,27.2,38.7,33.3,33939.5161290323,27.2,38.7,33.3
2016-12-31,31456.4,35.3,35.4,34.6,31456.4,35.3,35.4,34.6
2017-01-31,28238.8064516129,86.2,47.8,26.3,28238.8064516129,86.2,47.8,26.3
2017-01-31,31064.8709677419,86.2,47.8,26.3,31064.8709677419,86.2,47.8,26.3
2017-02-28,30398.6071428571,27.3,16.1,59.6,30398.6071428571,27.3,16.1,59.6
2017-03-31,32858.4193548387,19.0,23.2,138.2,32858.4193548387,19.0,23.2,138.2
2017-04-30,,11.7,12.7,115.8,35306.3859759736,11.7,12.7,115.8
2017-05-31,34248.2333333333,19.2,9.9,160.1,34248.2333333333,19.2,9.9,160.1
2017-06-30,34115.6451612903,6.2,6.3,98.5,34115.6451612903,6.2,6.3,98.5
2017-07-31,35003.6666666667,11.7,8.2,109.2,35003.6666666667,11.7,8.2,109.2
2017-08-31,36173.5161290323,15.2,11.3,120.1,36173.5161290323,15.2,11.3,120.1
2017-09-30,33462.6451612903,35.7,14.6,75.4,33462.6451612903,35.7,14.6,75.4
2017-10-31,34898.9666666667,19.1,31.1,78.2,34898.9666666667,19.1,31.1,78.2
2017-11-30,34272.935483871,10.0,14.6,71.7,34272.935483871,10.0,14.6,71.7
2017-12-31,31250.8666666667,23.7,30.9,33.4,31250.8666666667,23.7,30.9,33.4
2018-01-31,28231.6774193548,37.5,38.9,7.7,28231.6774193548,37.5,38.9,7.7
2018-01-31,29202.4516129032,37.5,38.9,7.7,29202.4516129032,37.5,38.9,7.7
2018-02-28,30183.0357142857,29.5,20.7,80.9,30183.0357142857,29.5,20.7,80.9
2018-03-31,31839.6129032258,7.4,10.0,97.7,31839.6129032258,7.4,10.0,97.7
2018-04-30,,8.4,5.7,109.2,33615.4126598865,8.4,5.7,109.2
2018-05-31,33132.1290322581,15.6,5.5,98.4,33132.1290322581,15.6,5.5,98.4
2018-06-30,34398.9666666667,12.8,8.0,169.9,34398.9666666667,12.8,8.0,169.9
2018-07-31,35054.8709677419,14.1,8.6,164.3,35054.8709677419,14.1,8.6,164.3
2018-08-31,,9.0,13.3,122.1,33977.89551282563,9.0,13.3,122.1
2018-09-30,34220.5333333333,17.9,12.6,95.9,34220.5333333333,17.9,12.6,95.9
2018-10-31,33417.4838709677,6.9,13.8,60.6,33417.4838709677,6.9,13.8,60.6
2018-11-30,30870.5666666667,36.8,31.1,9.0,30870.5666666667,36.8,31.1,9.0
2018-12-31,30015.7419354839,22.7,31.7,47.0,30015.7419354839,22.7,31.7,47.0
2019-01-31,28777.6451612903,21.0,27.7,66.6,28777.6451612903,21.0,27.7,66.6
2019-02-28,30091.25,29.2,33.4,89.3,30091.25,29.2,33.4,89.3
2019-03-31,31357.935483871,27.0,22.2,142.1,31357.935483871,27.0,22.2,142.1
2019-04-30,33094.4333333333,6.8,4.7,110.4,33094.4333333333,6.8,4.7,110.4
2019-05-31,33132.7741935484,7.2,8.2,130.3,33132.7741935484,7.2,8.2,130.3
2019-06-30,33163.7666666667,22.0,8.4,171.9,33163.7666666667,22.0,8.4,171.9
2019-07-31,34976.5483870968,7.9,7.0,99.7,34976.5483870968,7.9,7.0,99.7
2019-08-31,31840.4838709677,15.7,8.2,120.3,31840.4838709677,15.7,8.2,120.3
2019-09-30,33682.6333333333,14.0,13.8,73.9,33682.6333333333,14.0,13.8,73.9
2019-10-31,33393.4516129032,23.2,13.4,41.8,33393.4516129032,23.2,13.4,41.8
2019-11-30,30030.3666666667,15.1,22.2,52.6,30030.3666666667,15.1,22.2,52.6
2019-12-31,29555.6451612903,25.5,31.0,32.2,29555.6451612903,25.5,31.0,32.2
2020-01-31,28649.6451612903,16.9,35.8,65.5,28649.6451612903,16.9,35.8,65.5
2020-02-29,30073.9310344828,13.2,18.6,60.7,30073.9310344828,13.2,18.6,60.7
2020-03-31,19126.0967741935,8.3,9.2,78.0,19126.0967741935,8.3,9.2,78.0
2020-04-30,15141.4333333333,6.7,11.8,50.7,15141.4333333333,6.7,11.8,50.7
2020-05-31,,10.0,5.0,103.6,31613.550767002398,10.0,5.0,103.6
2020-06-30,,12.4,6.7,125.2,32404.066939689757,12.4,6.7,125.2
2020-07-31,,14.5,7.4,150.9,28795.073430246677,14.5,7.4,150.9
2020-08-31,,5.2,6.1,72.6,30001.78167898706,5.2,6.1,72.6
2020-09-30,,10.2,12.1,91.4,29259.164805611763,10.2,12.1,91.4
2020-10-31,,14.1,17.8,53.4,27007.766494493404,14.1,17.8,53.4
2020-11-30,,26.7,32.3,40.1,,26.7,32.3,40.1
2020-12-31,,26.4,50.2,26.8,,26.4,50.2,26.8
