Date,Traffic Count
2008-01-31,28934.4838709677
2008-02-29,31985.7586206897
2008-03-31,31887.6774193548
2008-04-30,31321.8
2008-05-31,29567.7741935484
2008-06-30,29825.7
2008-07-31,30915.2258064516
2008-08-31,29158.1290322581
2008-09-30,31019.9666666667
2008-10-31,31196.6129032258
2008-11-30,28655.0666666667
2008-12-31,27820.4516129032
2009-01-31,28317.5161290323
2009-02-28,29891.5357142857
2009-03-31,31188.4838709677
2009-04-30,31382.4333333333
2009-05-31,30111.4516129032
2009-06-30,30643.4333333333
2009-07-31,31995.1935483871
2009-08-31,29866.0322580645
2009-09-30,32229.1
2009-10-31,32358.1935483871
2009-11-30,30574.0333333333
2009-12-31,29562.3548387097
2010-01-31,28414.35483870968
2010-02-28,31089.53571428571
2010-03-31,32874.83870967742
2010-04-30,32417.2
2010-05-31,30887.22580645161
2010-06-30,31223.5
2010-07-31,32507.16129032258
2010-08-31,31173.77419354839
2010-09-30,33040.76666666667
2010-10-31,32684.22580645161
2010-11-30,30717.4
2010-12-31,28807.8064516129
2011-01-31,30017.74193548387
2011-02-28,32676.32142857143
2011-03-31,33446.6129032258
2011-04-30,32367.66666666667
2011-05-31,31567.1935483871
2011-06-30,31923.83333333333
2011-07-31,32698.22580645161
2011-08-31,31107.54838709677
2011-09-30,33770.26666666667
2011-10-31,33637.35483870967
2011-11-30,32250.5
2011-12-31,31103.74193548387
2012-01-31,30893.61290322581
2012-02-29,32813.44827586207
2012-03-31,35090.93548387097
2012-04-30,32219.06666666667
2012-05-31,33016.12903225807
2012-06-30,33476.4
2012-07-31,33684.70967741936
2012-08-31,32566.29032258064
2012-09-30,34096.23333333333
2012-10-31,34033.83870967742
2012-11-30,31922.46666666667
2012-12-31,29972.61290322581
2013-01-31,
2013-02-28,
2013-03-31,33885.67741935484
2013-04-30,33457.93333333333
2013-05-31,33041.16129032258
2013-06-30,33861.36666666667
2013-07-31,
2013-08-31,
2013-09-30,34677.5
2013-10-31,35136.93548387097
2013-11-30,33366.4
2013-12-31,32032.38709677419
2014-01-31,31927.41935483871
2014-02-28,34178.39285714286
2014-03-31,35793.29032258064
2014-04-30,34374.23333333333
2014-05-31,34688.41935483871
2014-06-30,35111.53333333333
2014-07-31,35257.1935483871
2014-08-31,33680.58064516129
2014-09-30,36615.86666666667
2014-10-31,37701.74193548387
2014-11-30,36534.4
2014-12-31,34438.87096774193
2015-01-31,33592.1290322581
2015-02-28,36629.9642857143
2015-03-31,38206.2903225806
2015-04-30,36720.4666666667
2015-05-31,37429.8709677419
2015-06-30,
2015-07-31,
2015-08-31,
2015-09-30,
2015-10-31,
2015-11-30,
2015-12-31,36056.2580645161
2016-01-31,34686.7096774194
2016-02-29,37452.3103448276
2016-03-31,39003.1290322581
2016-04-30,
2016-05-31,38573.3666666667
2016-06-30,38116.3548387097
2016-07-31,
2016-08-31,
2016-09-30,
2016-10-31,40561.2666666667
2016-11-30,39493.8064516129
2016-12-31,38189.7333333333
2017-01-31,36997.0
2017-01-31,34473.5161290323
2017-02-28,39033.6071428571
2017-03-31,40485.4838709677
2017-04-30,
2017-05-31,38529.3
2017-06-30,38987.6129032258
2017-07-31,39777.7333333333
2017-08-31,39422.0
2017-09-30,38310.5161290323
2017-10-31,40987.0
2017-11-30,40382.2258064516
2017-12-31,38995.2666666667
2018-01-31,35827.935483871
2018-01-31,36772.1935483871
2018-02-28,39143.9285714286
2018-03-31,40755.1290322581
2018-04-30,39675.7
2018-05-31,39139.064516129
2018-06-30,39038.7666666667
2018-07-31,38704.7419354839
2018-08-31,38252.4516129032
2018-09-30,40414.4333333333
2018-10-31,40706.7096774194
2018-11-30,39154.6666666667
2018-12-31,36530.7096774194
2019-01-31,36142.1935483871
2019-02-28,39830.75
2019-03-31,40322.064516129
2019-04-30,38627.4
2019-05-31,38678.0322580645
2019-06-30,39484.4
2019-07-31,39897.2903225806
2019-08-31,38435.3870967742
2019-09-30,40213.4666666667
2019-10-31,
2019-11-30,
2019-12-31,
2020-01-31,
2020-02-29,
2020-03-31,
2020-04-30,
2020-05-31,30572.0
2020-06-30,36657.9666666667
2020-07-31,40088.2580645161
2020-08-31,
2020-09-30,40351.6666666667
2020-10-31,37798.9677419355
2020-11-30,32583.4333333333
2020-12-31,32085.8709677419
2021-01-31,29526.4193548387
2021-02-28,31851.9642857143
2021-03-31,35632.8064516129
2021-04-30,37149.5666666667
2021-05-31,37605.6774193548
2021-06-30,39647.1666666667
2021-07-31,41155.4838709677
2021-08-31,40618.3548387097
2021-09-30,42875.5666666667
2021-10-31,42368.6129032258
2021-11-30,39548.9
2021-12-31,37004.8387096774
2022-01-31,36001.935483871
2022-02-28,40334.5
2022-03-31,40678.9677419355
2022-04-30,39212.3333333333
2022-05-31,39904.064516129
2022-06-30,40352.6666666667
2022-07-31,40284.4516129032
2022-08-31,38311.7741935484
2022-09-30,40470.6666666667
2022-10-31,39344.064516129
2022-11-30,37973.9333333333
2022-12-31,36725.9677419355
2023-01-31,35763.2580645161
2023-02-28,39526.8214285714
2023-03-31,39482.6129032258
2023-04-30,38140.1
2023-05-31,39550.3225806452
2023-06-30,40962.8333333333
2023-07-31,39578.5806451613
2023-08-31,38370.0
2023-09-30,41602.4333333333
2023-10-31,40590.935483871
2023-11-30,38785.4666666667
2023-12-31,37569.0
