"Kanton";"Fahrzeuggruppe / -art";"Jahr der 1. Inverkehrsetzung";"Treibstoff";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Schweiz";"> Personenwagen";"Vor 1960";"Benzin";6011;6149;6677;6794;6990;7203;7344;7690;7991;8231;8235;8298;8354;8388;8462;8723;10627;10515;10151;10773;11192;11665;11965;12141;12628;12868;13077;13358;13500;13524;13628;13121;12891;13382;13322
"Schweiz";"> Personenwagen";"Vor 1960";"Diesel";126;124;132;125;119;120;117;119;130;130;127;123;125;127;124;124;253;364;770;840;637;557;462;404;336;311;280;283;270;263;260;249;242;194;194
"Schweiz";"> Personenwagen";"Vor 1960";"Elektrisch";0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;2;2;2;3;3;4;5;6;6;6;7;7;10;9
"Schweiz";"> Personenwagen";"Vor 1960";"Anderer";0;0;0;1;2;4;4;4;3;3;3;4;1;3;3;79;47;60;373;11;11;8;5;8;8;8;11;12;11;13;11;689;635;635;616
"Schweiz";"> Personenwagen";"Vor 1960";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"1960 - 1979";"Benzin";336033;262291;203034;159266;133241;113580;97438;87144;78379;72051;66497;62654;59740;57415;55455;53900;49150;47626;44443;41809;42399;43738;44678;45248;46601;47420;48124;48819;49715;50097;50929;50848;50444;51875;51674
"Schweiz";"> Personenwagen";"1960 - 1979";"Diesel";2191;1750;1485;1183;992;835;737;660;583;534;474;419;397;369;351;350;781;1436;3517;3841;2847;2346;1912;1549;1267;1084;905;803;782;762;752;729;696;486;468
"Schweiz";"> Personenwagen";"1960 - 1979";"Elektrisch";25;29;25;22;22;17;19;20;18;18;20;20;19;18;18;19;20;18;15;7;9;11;11;10;10;13;13;8;11;11;15;18;18;19;18
"Schweiz";"> Personenwagen";"1960 - 1979";"Anderer";29;26;26;36;50;50;38;29;26;25;24;20;17;21;17;164;114;126;716;22;16;13;13;11;10;11;13;11;15;14;15;873;833;831;796
"Schweiz";"> Personenwagen";"1960 - 1979";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"1980 - 1989";"Benzin";2327851;2182235;2009324;1839430;1683767;1534099;1362356;1199564;1043020;886292;732774;602662;488282;396759;321854;264061;203364;164734;132096;97139;79391;66980;57079;48608;43629;40102;37207;35092;33771;32537;32061;31537;30609;30601;29952
"Schweiz";"> Personenwagen";"1980 - 1989";"Diesel";70421;66537;62046;57081;52878;48903;44247;38961;34278;29719;25214;21383;18151;15459;13093;11329;8639;7050;4924;3093;2672;2346;2032;1755;1520;1341;1183;1079;1005;911;889;856;810;787;739
"Schweiz";"> Personenwagen";"1980 - 1989";"Elektrisch";254;244;240;212;180;166;146;128;115;95;89;87;71;72;67;62;52;44;33;28;30;29;32;30;28;28;29;28;28;23;20;18;14;14;13
"Schweiz";"> Personenwagen";"1980 - 1989";"Anderer";68;64;119;205;317;377;391;284;197;150;122;111;16;17;17;268;428;365;613;43;215;267;246;230;37;28;24;12;10;9;11;133;130;121;122
"Schweiz";"> Personenwagen";"1980 - 1989";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"1990 - 1999";"Benzin";235516;524079;787560;1017124;1248881;1477128;1698894;1921838;2139949;2375627;2380636;2300945;2203204;2093806;1978183;1855277;1725016;1581728;1416473;1244236;1090591;937528;773973;621520;500714;402490;326315;264346;216883;180090;154260;134697;118750;107831;97666
"Schweiz";"> Personenwagen";"1990 - 1999";"Diesel";6349;13427;19975;27306;36752;45720;55304;65969;77745;93586;95738;91492;87398;83280;79699;75751;72878;67908;60974;54417;49009;43837;37971;32124;27316;22732;18965;15695;13103;10896;9321;8141;7226;6376;5630
"Schweiz";"> Personenwagen";"1990 - 1999";"Elektrisch";130;398;504;539;572;586;593;604;612;609;600;520;455;415;373;341;313;280;262;233;210;204;183;171;155;135;133;131;118;119;109;110;104;95;88
"Schweiz";"> Personenwagen";"1990 - 1999";"Anderer";0;0;5;41;89;151;188;181;196;174;164;186;106;103;97;657;712;1302;1618;181;180;157;156;144;111;92;77;65;57;49;41;428;386;359;327
"Schweiz";"> Personenwagen";"1990 - 1999";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2000 - 2004";"Benzin";0;0;0;0;0;0;0;0;0;0;214094;481838;727093;934248;1125889;1158833;1140736;1123737;1098822;1079247;1048882;1008956;954311;888590;815007;731432;645002;556401;473399;400063;343577;295940;255203;224609;195365
"Schweiz";"> Personenwagen";"2000 - 2004";"Diesel";0;0;0;0;0;0;0;0;0;0;20309;58679;107113;162752;226638;241895;240956;236060;226654;221962;215211;206778;195662;182912;168423;151459;131644;111904;94313;79503;67711;57705;49127;42378;36119
"Schweiz";"> Personenwagen";"2000 - 2004";"Elektrisch";0;0;0;0;0;0;0;0;0;0;44;62;130;145;166;160;156;152;146;139;139;125;122;114;95;91;85;81;71;62;59;56;51;48;42
"Schweiz";"> Personenwagen";"2000 - 2004";"Anderer";0;0;0;0;0;0;0;0;0;0;6;136;192;408;761;1938;1667;1932;2920;1899;1836;1803;1726;1623;1479;1330;1125;970;821;677;586;574;486;424;342
"Schweiz";"> Personenwagen";"2000 - 2004";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2005 - 2009";"Benzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118660;313370;489654;668321;847601;894170;890917;886114;881562;871445;847785;819364;778599;726826;671340;621120;568717;519721;477219;431387
"Schweiz";"> Personenwagen";"2005 - 2009";"Diesel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43019;127484;211775;299639;381936;407497;407830;406348;405239;400245;386987;365988;337688;304167;271465;243077;215680;190586;168251;145832
"Schweiz";"> Personenwagen";"2005 - 2009";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;20;34;60;104;133;147;139;131;124;118;113;105;101;96;85;86;76;69;59
"Schweiz";"> Personenwagen";"2005 - 2009";"Anderer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1358;3188;8770;16246;20035;21392;21314;21137;21023;20966;20471;19583;18452;17003;15480;14226;12961;11740;10590;9604
"Schweiz";"> Personenwagen";"2005 - 2009";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2010 - 2014";"Benzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141990;341706;550554;736889;911684;959389;960018;949815;933210;908787;885066;855915;822783;790201;751227
"Schweiz";"> Personenwagen";"2010 - 2014";"Diesel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61233;163397;289697;411860;524569;562288;562140;552777;538822;519864;499682;475887;449352;420787;386669
"Schweiz";"> Personenwagen";"2010 - 2014";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;526;1269;2225;4024;4475;4450;4349;4312;4219;4124;3988;3896;3669;3444
"Schweiz";"> Personenwagen";"2010 - 2014";"Anderer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3764;9801;16925;24760;32054;34099;33965;33727;33100;32327;31475;30547;29739;28593;27437
"Schweiz";"> Personenwagen";"2010 - 2014";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2015";"Benzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132316;178843;183412;182473;178737;179091;177440;174398;171225;167195
"Schweiz";"> Personenwagen";"2015";"Diesel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87873;123944;128376;127304;124494;124429;122735;119871;115989;110392
"Schweiz";"> Personenwagen";"2015";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2668;3430;3378;3332;3316;3344;3323;3330;3233;3106
"Schweiz";"> Personenwagen";"2015";"Anderer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6618;9169;9344;9287;9132;9107;9071;8962;8779;8503
"Schweiz";"> Personenwagen";"2015";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2016";"Benzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121947;171414;175904;174302;173081;172884;170716;168657;165884
"Schweiz";"> Personenwagen";"2016";"Diesel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86451;118754;124631;123289;121566;121845;119595;116691;112870
"Schweiz";"> Personenwagen";"2016";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2467;3282;3213;3122;3165;3163;3189;3092;3020
"Schweiz";"> Personenwagen";"2016";"Anderer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7936;11093;11245;11130;11019;10931;10931;10699;10512
"Schweiz";"> Personenwagen";"2016";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2017";"Benzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125762;175732;179783;179644;178408;177466;176056;174329
"Schweiz";"> Personenwagen";"2017";"Diesel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79579;106964;112104;111747;110810;109905;107951;105510
"Schweiz";"> Personenwagen";"2017";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3172;4537;4403;4398;4433;4491;4406;4364
"Schweiz";"> Personenwagen";"2017";"Anderer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8637;12135;12326;12286;12182;12243;12084;11956
"Schweiz";"> Personenwagen";"2017";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2018";"Benzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133308;180082;186736;186540;184253;183982;183301
"Schweiz";"> Personenwagen";"2018";"Diesel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62885;83661;89115;89183;87812;87010;85927
"Schweiz";"> Personenwagen";"2018";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3452;4895;4965;4904;4978;4837;4848
"Schweiz";"> Personenwagen";"2018";"Anderer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10851;15550;16087;16150;16036;15886;15905
"Schweiz";"> Personenwagen";"2018";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2019";"Benzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130095;186241;195491;194370;192324;193057
"Schweiz";"> Personenwagen";"2019";"Diesel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55433;75357;80323;79897;78269;77975
"Schweiz";"> Personenwagen";"2019";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8444;12458;12627;12727;12380;12295
"Schweiz";"> Personenwagen";"2019";"Anderer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16442;26440;27981;28769;28377;28440
"Schweiz";"> Personenwagen";"2019";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2020";"Benzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81951;116870;119036;119281;118631
"Schweiz";"> Personenwagen";"2020";"Diesel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35171;50832;52608;52495;51822
"Schweiz";"> Personenwagen";"2020";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10648;19180;19664;19165;18920
"Schweiz";"> Personenwagen";"2020";"Anderer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27168;46397;49478;49342;48946
"Schweiz";"> Personenwagen";"2020";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2021";"Benzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76361;98298;101978;103253
"Schweiz";"> Personenwagen";"2021";"Diesel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25136;31718;33037;33249
"Schweiz";"> Personenwagen";"2021";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19784;31581;31031;31253
"Schweiz";"> Personenwagen";"2021";"Anderer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53868;75226;76582;77552
"Schweiz";"> Personenwagen";"2021";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2022";"Benzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62151;83447;89415
"Schweiz";"> Personenwagen";"2022";"Diesel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19892;25885;27093
"Schweiz";"> Personenwagen";"2022";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26625;39029;39923
"Schweiz";"> Personenwagen";"2022";"Anderer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54506;72888;76257
"Schweiz";"> Personenwagen";"2022";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2023";"Benzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60090;82659
"Schweiz";"> Personenwagen";"2023";"Diesel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17011;22782
"Schweiz";"> Personenwagen";"2023";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34401;49889
"Schweiz";"> Personenwagen";"2023";"Anderer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62903;88215
"Schweiz";"> Personenwagen";"2023";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"2024";"Benzin";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50893
"Schweiz";"> Personenwagen";"2024";"Diesel";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16584
"Schweiz";"> Personenwagen";"2024";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31239
"Schweiz";"> Personenwagen";"2024";"Anderer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68962
"Schweiz";"> Personenwagen";"2024";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"Unbekannt";"Benzin";351;400;71;148;183;228;267;248;63;64;73;71;84;83;82;15550;39;87;20;5;19;11;1;2;2;4;5;5;5;5;5;4;3;2;3
"Schweiz";"> Personenwagen";"Unbekannt";"Diesel";42;45;2;8;6;7;7;9;0;0;1;1;0;0;0;8721;1;21;2;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"Unbekannt";"Elektrisch";0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"Unbekannt";"Anderer";0;0;1;1;0;1;2;2;1;1;2;1;2;1;1;193;2;9;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personenwagen";"Unbekannt";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personentransportfahrzeuge";"Vor 1960";"Benzin";52;57;59;57;42;49;54;41;38;51;46;45;49;46;49;50;55;63;57;65;57;63;63;60;58;63;54;61;62;62;61;62;57;60;58
"Schweiz";"> Personentransportfahrzeuge";"Vor 1960";"Diesel";201;196;192;175;177;169;163;177;177;174;166;140;146;124;112;111;103;102;84;75;81;85;81;81;83;82;88;87;83;83;67;72;78;90;84
"Schweiz";"> Personentransportfahrzeuge";"Vor 1960";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Schweiz";"> Personentransportfahrzeuge";"Vor 1960";"Anderer";1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;2;4;1;17;30;33;31;26;29;28;24;22;22;23;23;20;18;19;20;19
"Schweiz";"> Personentransportfahrzeuge";"Vor 1960";"Ohne Motor";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Schweiz";"> Personentransportfahrzeuge";"1960 - 1979";"Benzin";6682;6254;5753;5229;4877;4510;4141;3808;3450;3149;2822;2550;2391;2215;2057;1962;1758;1662;1530;1423;1397;1386;1384;1340;1332;1321;1353;1328;1341;1338;1383;1382;1389;1427;1398
"Schweiz";"> Personentransportfahrzeuge";"1960 - 1979";"Diesel";2771;2459;2203;1989;1809;1582;1375;1243;1070;948;797;674;596;511;466;459;408;398;364;320;300;271;265;231;221;213;214;204;188;184;187;182;181;199;196
