"Kanton";"Fahrzeuggruppe / -art";"Jahr der 1. Inverkehrsetzung";"Treibstoff";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Schweiz";"> Personenwagen";"Vor 1960";"Elektrisch";0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;2;2;2;3;3;4;5;6;6;6;7;7;10;9
"Schweiz";"> Personenwagen";"1960 - 1979";"Elektrisch";25;29;25;22;22;17;19;20;18;18;20;20;19;18;18;19;20;18;15;7;9;11;11;10;10;13;13;8;11;11;15;18;18;19;18
"Schweiz";"> Personenwagen";"1980 - 1989";"Elektrisch";254;244;240;212;180;166;146;128;115;95;89;87;71;72;67;62;52;44;33;28;30;29;32;30;28;28;29;28;28;23;20;18;14;14;13
"Schweiz";"> Personenwagen";"1990 - 1999";"Elektrisch";130;398;504;539;572;586;593;604;612;609;600;520;455;415;373;341;313;280;262;233;210;204;183;171;155;135;133;131;118;119;109;110;104;95;88
"Schweiz";"> Personenwagen";"2000 - 2004";"Elektrisch";0;0;0;0;0;0;0;0;0;0;44;62;130;145;166;160;156;152;146;139;139;125;122;114;95;91;85;81;71;62;59;56;51;48;42
"Schweiz";"> Personenwagen";"2005 - 2009";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;20;34;60;104;133;147;139;131;124;118;113;105;101;96;85;86;76;69;59
"Schweiz";"> Personenwagen";"2010 - 2014";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;526;1269;2225;4024;4475;4450;4349;4312;4219;4124;3988;3896;3669;3444
"Schweiz";"> Personenwagen";"2015";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2668;3430;3378;3332;3316;3344;3323;3330;3233;3106
"Schweiz";"> Personenwagen";"2016";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2467;3282;3213;3122;3165;3163;3189;3092;3020
"Schweiz";"> Personenwagen";"2017";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3172;4537;4403;4398;4433;4491;4406;4364
"Schweiz";"> Personenwagen";"2018";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3452;4895;4965;4904;4978;4837;4848
"Schweiz";"> Personenwagen";"2019";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8444;12458;12627;12727;12380;12295
"Schweiz";"> Personenwagen";"2020";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10648;19180;19664;19165;18920
"Schweiz";"> Personenwagen";"2021";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19784;31581;31031;31253
"Schweiz";"> Personenwagen";"2022";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26625;39029;39923
"Schweiz";"> Personenwagen";"2023";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34401;49889
"Schweiz";"> Personenwagen";"2024";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31239
"Schweiz";"> Personenwagen";"Unbekannt";"Elektrisch";0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
