Date,Value
2004-12-09,32.75
2004-12-10,32.16
2004-12-11,30.42
2004-12-12,32.74
2004-12-13,36.64
2004-12-14,38.89
2004-12-15,41.31
2004-12-16,47.44
2004-12-17,25.25
2004-12-18,27.36
2004-12-19,15.49
2004-12-20,26.0
2004-12-21,42.5
2004-12-22,47.75
2004-12-23,40.54
2004-12-24,32.78
2004-12-25,34.14
2004-12-26,18.39
2004-12-27,21.24
2004-12-28,35.24
2004-12-29,41.6
2004-12-30,63.03
2004-12-31,61.25
2005-01-01,44.18
2005-01-02,27.36
2005-01-03,45.83
2005-01-04,54.44
2005-01-05,55.27
2005-01-06,40.32
2005-01-07,44.54
2005-01-08,36.0
2005-01-09,33.25
2005-01-10,51.89
2005-01-11,61.96
2005-01-12,57.1
2005-01-13,55.76
2005-01-14,58.48
2005-01-15,34.34
2005-01-16,32.93
2005-01-17,42.81
2005-01-18,40.53
2005-01-19,43.83
2005-01-20,30.94
2005-01-21,35.12
2005-01-22,38.38
2005-01-23,32.03
2005-01-24,33.15
2005-01-25,26.01
2005-01-26,15.88
2005-01-27,30.2
2005-01-28,45.12
2005-01-29,29.7
2005-01-30,38.81
2005-01-31,68.76
2005-02-01,47.5
2005-02-02,61.5
2005-02-03,41.63
2005-02-04,68.08
2005-02-05,58.35
2005-02-06,57.85
2005-02-07,81.09
2005-02-08,76.68
2005-02-09,81.41
2005-02-10,60.8
2005-02-11,47.85
2005-02-12,20.81
2005-02-13,15.1
2005-02-14,38.77
2005-02-15,32.42
2005-02-16,21.48
2005-02-17,21.11
2005-02-18,35.96
2005-02-19,38.25
2005-02-20,32.17
2005-02-21,45.44
2005-02-22,60.19
2005-02-23,50.56
2005-02-24,59.85
2005-02-25,74.61
2005-02-26,54.66
2005-02-27,20.05
2005-02-28,22.97
2005-03-01,62.47
2005-03-02,74.69
2005-03-03,81.34
2005-03-04,76.71
2005-03-05,40.14
2005-03-06,26.39
2005-03-07,59.32
2005-03-08,48.78
2005-03-09,56.07
2005-03-10,61.28
2005-03-11,59.99
2005-03-12,25.09
2005-03-13,41.75
2005-03-14,56.13
2005-03-15,67.15
2005-03-16,56.8
2005-03-17,64.83
2005-03-18,63.15
2005-03-19,56.88
2005-03-20,34.1
2005-03-23,44.69
2005-03-24,43.66
2005-03-25,32.15
2005-03-26,35.13
2005-03-27,18.7
2005-03-28,30.65
2005-03-29,35.57
2005-03-30,40.5
2005-04-01,37.54
2005-04-02,50.29
2005-04-03,35.32
2005-04-04,45.72
2005-04-05,51.14
2005-04-06,44.26
2005-04-07,35.54
2005-04-08,28.77
2005-04-09,20.72
2005-04-10,9.69
2005-04-11,14.0
2005-04-12,31.71
2005-04-13,47.59
2005-04-14,46.87
2005-04-15,47.06
2005-04-17,21.08
2005-04-18,37.45
2005-04-19,38.45
2005-04-21,31.98
2005-04-22,55.75
2005-04-23,37.44
2005-04-24,25.2
2005-04-25,32.79
2005-04-26,36.84
2005-04-27,59.57
2005-04-28,41.36
2005-04-29,51.13
2005-04-30,39.26
2005-05-01,22.51
2005-05-02,46.11
2005-05-03,40.74
2005-05-04,28.69
2005-05-05,17.0
2005-05-06,31.12
2005-05-07,15.02
2005-05-08,19.55
2005-05-09,35.58
2005-05-10,34.09
2005-05-11,24.64
2005-05-12,38.6
2005-05-13,37.68
2005-05-14,27.01
2005-05-15,21.2
2005-05-16,29.09
2005-05-17,26.08
2005-05-18,31.84
2005-05-19,40.48
2005-05-20,49.09
2005-05-21,32.77
2005-05-22,20.71
2005-05-23,39.5
2005-05-24,34.09
2005-05-25,41.87
2005-05-26,37.12
2005-05-27,48.46
2005-05-28,35.18
2005-05-29,22.15
2005-05-30,45.08
2005-05-31,27.77
2005-06-01,36.95
2005-06-02,44.99
2005-06-03,37.64
2005-06-04,20.18
2005-06-05,16.33
2005-06-06,26.16
2005-06-07,19.22
2005-06-08,16.71
2005-06-09,17.96
2005-06-10,34.18
2005-06-11,33.81
2005-06-12,27.17
2005-06-13,41.88
2005-06-14,33.96
2005-06-15,38.84
2005-06-16,32.32
2005-06-17,31.51
2005-06-18,19.19
2005-06-19,21.18
2005-06-20,41.12
2005-06-21,47.12
2005-06-22,48.06
2005-06-24,41.07
2005-06-25,28.58
2005-06-26,26.04
2005-06-27,40.6
2005-06-28,44.14
2005-06-29,35.53
