Date,Traffic,PM10,NO2,PM2.5,Traffic_interpolated,PM10_interpolated,NO2_interpolated,PM2.5_interpolated
2008-01-31,107657.741935484,22.075,46.805,,107657.741935484,22.075,46.805,13.593307609385548
2008-02-29,112990.551724138,17.812,65.089,,112990.551724138,17.812,65.089,18.690533101291898
2008-03-31,114162.0,10.367,72.123,,114162.0,10.367,72.123,14.11606044614583
2008-04-30,118306.566666667,15.691,58.6,,118306.566666667,15.691,58.6,14.112920403614538
2008-05-31,117380.774193548,12.717,26.043,,117380.774193548,12.717,26.043,10.28550643691581
2008-06-30,120084.1,19.432,63.559,,120084.1,19.432,63.559,6.64516037050546
2008-07-31,122609.064516129,19.228,44.319,,122609.064516129,19.228,44.319,14.480709891462547
2008-08-31,127173.838709677,20.884,38.688,,127173.838709677,20.884,38.688,10.305391185765735
2008-09-30,125177.966666667,28.381,56.184,,125177.966666667,28.381,56.184,10.172541383138938
2008-10-31,124851.774193548,,47.223,,124851.774193548,24.879119710479614,47.223,14.81494994346376
2008-11-30,119003.7,,46.832,,119003.7,22.841660505910845,46.832,18.344357387567904
2008-12-31,113329.35483871,,48.404,,113329.35483871,26.105665590522232,48.404,9.170454783736034
2009-01-31,111437.935483871,,35.763,,111437.935483871,24.030141024269557,35.763,10.237731115498182
2009-02-28,118560.178571429,,52.202,,118560.178571429,29.069085506229737,52.202,17.47466927588177
2009-03-31,122266.612903226,,48.071,,122266.612903226,26.931570949502714,48.071,12.76224290535003
2009-04-30,126884.666666667,,,,126884.666666667,21.36498528187032,52.69983292331318,13.303051412242008
2009-05-31,122976.548387097,,25.447,,122976.548387097,18.794950183807337,25.447,9.729077934553736
2009-06-30,127673.833333333,,47.047,,127673.833333333,20.8137235221608,47.047,9.261841844213286
2009-07-31,127897.193548387,,48.337,,127897.193548387,22.526348197026586,48.337,12.736761329239789
2009-08-31,133679.064516129,,51.04,,133679.064516129,19.456794818001875,51.04,11.017624583887851
2009-09-30,130890.666666667,,57.577,,130890.666666667,22.04719809435873,57.577,10.082495652587546
2009-10-31,128876.64516129,,35.919,,128876.64516129,24.254749340891717,35.919,13.169046313707018
2009-11-30,125147.766666667,,74.562,,125147.766666667,22.21883119403443,74.562,15.639007364509208
2009-12-31,118450.064516129,,46.604,,118450.064516129,25.525439891482087,46.604,12.610973777577538
2010-01-31,113278.7741935484,,54.519,,113278.7741935484,23.421248860376377,54.519,11.125962472333635
2010-02-28,118507.2857142857,,28.832,,118507.2857142857,28.527154162149515,28.832,16.213904228185843
2010-03-31,128051.1612903226,,63.979,,128051.1612903226,26.310504404781092,63.979,11.406992367041548
2010-04-30,128622.0,,52.398,,128622.0,20.746020603154538,52.398,12.521451467411127
2010-05-31,125634.0322580645,,57.333,,125634.0322580645,18.220249691412683,57.333,9.22603166374278
2010-06-30,130745.2666666667,,71.158,,130745.2666666667,20.260586936215912,71.158,11.868605309092656
2010-07-31,129669.7419354839,,36.448,,129669.7419354839,21.93154624219486,36.448,10.962688780880985
2010-08-31,135287.1612903226,,57.499,,135287.1612903226,18.857384211170203,57.499,11.729225968294935
2010-09-30,132387.1,,47.28,,132387.1,21.443080015475818,47.28,9.955035312342334
2010-10-31,130398.7741935484,,46.676,,130398.7741935484,23.629327376664122,46.676,11.50046830787277
2010-11-30,125991.2333333333,,72.042,,125991.2333333333,21.597752054787836,72.042,13.012662514470565
2010-12-31,115790.5161290323,,69.039,,115790.5161290323,24.94518378278357,69.039,16.10735189166099
2011-01-31,117389.6129032258,,44.836,,117389.6129032258,22.814315763898122,44.836,11.964801667701511
2011-02-28,125266.9642857143,,78.276,,125266.9642857143,27.98265777479934,78.276,14.909703940650155
2011-03-31,126648.2580645161,,49.089,,126648.2580645161,25.687218623129105,49.089,10.052279807415257
2011-04-30,128584.1333333333,,41.747,,128584.1333333333,20.128676294952193,41.747,11.769236427356052
2011-05-31,129239.0967741935,,53.628,,129239.0967741935,17.648016510702277,53.628,8.776178910830744
2011-06-30,129860.0666666667,,54.987,,129860.0666666667,19.707246648465777,54.987,14.462495319056274
2011-07-31,131741.4193548387,,40.936,,131741.4193548387,21.33506325803752,40.936,9.159142400240913
2011-08-31,135841.6451612903,,58.707,,135841.6451612903,18.258531977951453,58.707,12.439468509795573
2011-09-30,134321.6,,41.391,,134321.6,20.83830542019338,41.391,9.790436696458173
2011-10-31,128388.5161290323,,42.89,,128388.5161290323,23.0029003643687,42.89,9.81159893711808
2011-11-30,129446.5666666667,,52.574,,129446.5666666667,20.97845253114769,52.574,10.467445969542863
2011-12-31,121131.8709677419,,47.203,,121131.8709677419,24.364880194540902,47.203,19.655604861174044
2012-01-31,118832.8064516129,,71.969,,118832.8064516129,22.209312159007798,71.969,12.75199176399393
2012-02-29,117803.6896551724,,64.637,,117803.6896551724,27.23131961377505,64.637,17.849217255892906
2012-03-31,129712.2903225807,,,,129712.2903225807,25.17313863553028,56.96961441982907,13.274744600757625
2012-04-30,125548.8666666667,,39.771,,125548.8666666667,19.60827952758667,39.771,13.271604558208649
2012-05-31,126877.0,32.748,50.43,,126877.0,32.748,50.43,9.444190591534763
2012-06-30,131932.8,42.618,29.094,,131932.8,42.618,29.094,5.803844525118685
2012-07-31,131138.9677419355,25.731,32.861,,131138.9677419355,25.731,32.861,13.63939404608375
2012-08-31,134234.8064516129,23.003,53.704,,134234.8064516129,23.003,53.704,9.464075340368186
2012-09-30,130855.1333333333,30.334,28.247,,130855.1333333333,30.334,28.247,9.331225537752147
2012-10-31,130555.4516129032,39.318,58.306,,130555.4516129032,39.318,58.306,13.973634098087262
2012-11-30,128163.6666666667,21.101,48.098,,128163.6666666667,21.101,48.098,17.503041542197273
2012-12-31,116513.2258064516,16.703,40.454,,116513.2258064516,16.703,40.454,8.329138938320584
2013-01-31,116798.1290322581,20.689,63.638,,116798.1290322581,20.689,63.638,9.39641527009986
2013-02-28,120074.6785714286,37.067,50.917,,120074.6785714286,37.067,50.917,16.633353430482288
2013-03-31,126285.6129032258,70.265,50.402,,126285.6129032258,70.265,50.402,11.920927059963274
2013-04-30,131792.0333333333,28.616,65.664,,131792.0333333333,28.616,65.664,12.46173556686115
2013-05-31,127067.8709677419,11.948,58.913,,127067.8709677419,11.948,58.913,8.88776208916975
2013-06-30,132307.7666666667,11.734,26.77,,132307.7666666667,11.734,26.77,8.420525998848825
2013-07-31,133144.6129032258,10.958,34.036,,133144.6129032258,10.958,34.036,11.89544548383162
2013-08-31,137017.2258064516,17.665,42.484,,137017.2258064516,17.665,42.484,10.176308738500094
