Date,Traffic,PM10,NO2,O3,Traffic_interpolated,PM10_interpolated,O3_interpolated,NO2_interpolated
2008-01-31,28934.4838709677,37.19,45.06,22.37,28934.4838709677,37.19,22.37,45.06
2008-02-29,31985.7586206897,17.48,37.66,36.48,31985.7586206897,17.48,36.48,37.66
2008-03-31,31887.6774193548,,48.41,,31887.6774193548,24.611762164931623,48.995023953541136,48.41
2008-04-30,31321.8,16.1,51.44,44.25,31321.8,16.1,44.25,51.44
2008-05-31,29567.7741935484,10.44,28.83,47.78,29567.7741935484,10.44,47.78,28.83
2008-06-30,29825.7,17.65,27.94,58.44,29825.7,17.65,58.44,27.94
2008-07-31,30915.2258064516,17.12,37.08,55.89,30915.2258064516,17.12,55.89,37.08
2008-08-31,29158.1290322581,20.21,37.38,49.19,29158.1290322581,20.21,49.19,37.38
2008-09-30,31019.9666666667,26.3,43.67,46.26,31019.9666666667,26.3,46.26,43.67
2008-10-31,31196.6129032258,23.74,44.97,13.85,31196.6129032258,23.74,13.85,44.97
2008-11-30,28655.0666666667,28.71,50.97,22.59,28655.0666666667,28.71,22.59,50.97
2008-12-31,27820.4516129032,48.81,62.87,2.6,27820.4516129032,48.81,2.6,62.87
2009-01-31,28317.5161290323,45.4,33.23,22.24,28317.5161290323,45.4,22.24,33.23
2009-02-28,29891.5357142857,,69.02,33.23,29891.5357142857,26.316659824347447,33.23,69.02
2009-03-31,31188.4838709677,32.65,39.11,,31188.4838709677,32.65,49.525095806225245,39.11
2009-04-30,31382.4333333333,15.92,,41.45,31382.4333333333,15.92,41.45,40.971203802587866
2009-05-31,30111.4516129032,16.53,19.26,66.86,30111.4516129032,16.53,66.86,19.26
2009-06-30,30643.4333333333,27.0,40.49,60.89,30643.4333333333,27.0,60.89,40.49
2009-07-31,31995.1935483871,21.98,33.94,51.4,31995.1935483871,21.98,51.4,33.94
2009-08-31,29866.0322580645,24.09,48.25,41.67,29866.0322580645,24.09,41.67,48.25
2009-09-30,32229.1,32.36,60.92,27.73,32229.1,32.36,27.73,60.92
2009-10-31,32358.1935483871,54.03,44.75,10.52,32358.1935483871,54.03,10.52,44.75
2009-11-30,30574.0333333333,15.99,72.68,15.9,30574.0333333333,15.99,15.9,72.68
2009-12-31,29562.3548387097,17.8,54.19,19.67,29562.3548387097,17.8,19.67,54.19
2010-01-31,28414.35483870968,16.68,46.38,37.97,28414.35483870968,16.68,37.97,46.38
2010-02-28,31089.53571428571,8.74,25.69,51.22,31089.53571428571,8.74,51.22,25.69
