Date,Traffic,CO (mg/m³),Traffic_interpolated,CO (mg/m³)_interpolated
2011-01-31,40705.90322580645,0.66,40705.90322580645,0.66
2011-02-28,45105.46428571428,0.51,45105.46428571428,0.51
2011-03-31,47475.54838709677,0.41,47475.54838709677,0.41
2011-04-30,52911.93333333333,0.27,52911.93333333333,0.27
2011-05-31,51792.58064516129,0.3,51792.58064516129,0.3
2011-06-30,54747.8,0.2,54747.8,0.2
2011-07-31,63522.6129032258,0.22,63522.6129032258,0.22
2011-08-31,56729.6129032258,0.28,56729.6129032258,0.28
2011-09-30,57853.86666666667,0.37,57853.86666666667,0.37
2011-10-31,54081.1935483871,0.37,54081.1935483871,0.37
2011-11-30,47372.3,0.67,47372.3,0.67
2011-12-31,45361.03225806452,0.36,45361.03225806452,0.36
2012-01-31,41952.70967741936,0.36,41952.70967741936,0.36
2012-02-29,43670.96551724138,0.96,43670.96551724138,0.96
2012-03-31,48324.06451612903,0.2,48324.06451612903,0.2
2012-04-30,51976.8,0.31,51976.8,0.31
2012-05-31,53235.32258064516,0.22,53235.32258064516,0.22
2012-06-30,54611.4,0.2,54611.4,0.2
2012-07-31,64716.74193548387,0.24,64716.74193548387,0.24
2012-08-31,61158.48387096774,0.18,61158.48387096774,0.18
2012-09-30,62655.76666666667,0.26,62655.76666666667,0.26
2012-10-31,59863.87096774193,0.43,59863.87096774193,0.43
2012-11-30,52863.63333333333,0.36,52863.63333333333,0.36
2012-12-31,48228.96774193548,0.47,48228.96774193548,0.47
2013-01-31,48035.3870967742,0.78,48035.3870967742,0.78
2013-02-28,48281.14285714286,0.56,48281.14285714286,0.56
2013-03-31,52244.03225806452,0.35,52244.03225806452,0.35
2013-04-30,57713.66666666666,0.47,57713.66666666666,0.47
2013-05-31,58627.29032258064,0.27,58627.29032258064,0.27
2013-06-30,59793.36666666667,0.18,59793.36666666667,0.18
2013-07-31,69189.54838709677,0.23,69189.54838709677,0.23
2013-08-31,63027.64516129033,0.24,63027.64516129033,0.24
2013-09-30,63625.53333333333,0.27,63625.53333333333,0.27
2013-10-31,60275.90322580645,0.37,60275.90322580645,0.37
2013-11-30,52596.26666666667,0.58,52596.26666666667,0.58
2013-12-31,49652.87096774193,0.4,49652.87096774193,0.4
2014-01-31,47133.3870967742,0.73,47133.3870967742,0.73
2014-02-28,50271.32142857143,0.42,50271.32142857143,0.42
2014-03-31,51996.16129032258,0.37,51996.16129032258,0.37
2014-04-30,59140.06666666667,0.31,59140.06666666667,0.31
2014-05-31,57331.51612903226,0.21,57331.51612903226,0.21
2014-06-30,59870.56666666667,0.2,59870.56666666667,0.2
2014-07-31,66211.3870967742,0.3,66211.3870967742,0.3
2014-08-31,63330.09677419355,0.21,63330.09677419355,0.21
2014-09-30,63768.46666666667,0.37,63768.46666666667,0.37
2014-10-31,60549.54838709677,0.45,60549.54838709677,0.45
2014-11-30,52666.4,0.5,52666.4,0.5
2014-12-31,51211.41935483871,0.41,51211.41935483871,0.41
2015-01-31,47825.5806451613,0.38,47825.5806451613,0.38
2015-02-28,50465.4285714286,0.33,50465.4285714286,0.33
2015-03-31,53918.1290322581,0.25,53918.1290322581,0.25
2015-04-30,60293.8,0.24,60293.8,0.24
2015-05-31,60597.8709677419,0.23,60597.8709677419,0.23
2015-06-30,61350.0,0.24,61350.0,0.24
2015-07-31,70165.5806451613,0.19,70165.5806451613,0.19
2015-08-31,64914.6129032258,0.26,64914.6129032258,0.26
2015-09-30,66657.5333333333,0.25,66657.5333333333,0.25
2015-10-31,62201.2903225806,0.39,62201.2903225806,0.39
