Date,Traffic,CO (mg/m³),Traffic_interpolated,CO (mg/m³)_interpolated
2008-01-31,15101.7096774194,0.31,15101.7096774194,0.31
2008-02-29,17174.5172413793,0.23,17174.5172413793,0.23
2008-03-31,20174.0967741935,0.27,20174.0967741935,0.27
2008-04-30,18528.3,0.23,18528.3,0.23
2008-05-31,19278.4193548387,0.17,19278.4193548387,0.17
2008-06-30,19682.6,0.18,19682.6,0.18
2008-07-31,21192.0,0.17,21192.0,0.17
2008-08-31,21075.6451612903,0.22,21075.6451612903,0.22
2008-09-30,19337.8,0.2,19337.8,0.2
2008-10-31,18464.0322580645,0.32,18464.0322580645,0.32
2008-11-30,16431.2333333333,0.33,16431.2333333333,0.33
2008-12-31,16038.4193548387,0.74,16038.4193548387,0.74
2009-01-31,15458.1935483871,0.35,15458.1935483871,0.35
2009-02-28,16597.3928571429,0.36,16597.3928571429,0.36
2009-03-31,19928.7096774194,0.31,19928.7096774194,0.31
2009-04-30,20004.8666666667,0.22,20004.8666666667,0.22
2009-05-31,19787.3225806452,0.17,19787.3225806452,0.17
2009-06-30,,0.21,20379.830108845432,0.21
2009-07-31,,0.15,22230.681026192175,0.15
2009-08-31,,0.2,22325.74830975004,0.2
2009-09-30,,0.24,21242.692430842948,0.24
2009-10-31,,0.4,19823.776264422242,0.4
2009-11-30,,0.21,17577.4742020149,0.21
2009-12-31,,0.27,16747.06086715484,0.27
2010-01-31,15721.22580645161,0.25,15721.22580645161,0.25
2010-02-28,17056.46428571429,0.23,17056.46428571429,0.23
2010-03-31,20401.87096774194,0.19,20401.87096774194,0.19
2010-04-30,20410.13333333334,0.2,20410.13333333334,0.2
2010-05-31,20209.70967741936,0.15,20209.70967741936,0.15
2010-06-30,21058.43333333333,0.21,21058.43333333333,0.21
2010-07-31,23380.93548387097,0.17,23380.93548387097,0.17
2010-08-31,23256.51612903226,0.15,23256.51612903226,0.15
2010-09-30,22277.9,0.24,22277.9,0.24
2010-10-31,20481.16129032258,0.34,20481.16129032258,0.34
2010-11-30,18098.66666666667,0.46,18098.66666666667,0.46
2010-12-31,16668.77419354839,0.3,16668.77419354839,0.3
2011-01-31,16627.77419354839,0.39,16627.77419354839,0.39
2011-02-28,18196.25,0.25,18196.25,0.25
2011-03-31,20939.70967741936,0.2,20939.70967741936,0.2
2011-04-30,20600.2,0.2,20600.2,0.2
2011-05-31,19592.48387096774,0.15,19592.48387096774,0.15
2011-06-30,21796.26666666667,0.14,21796.26666666667,0.14
2011-07-31,23124.03225806452,0.16,23124.03225806452,0.16
2011-08-31,22870.58064516129,0.18,22870.58064516129,0.18
2011-09-30,21641.33333333333,0.27,21641.33333333333,0.27
2011-10-31,20268.16129032258,0.38,20268.16129032258,0.38
2011-11-30,18271.73333333333,0.37,18271.73333333333,0.37
2011-12-31,17773.58064516129,0.19,17773.58064516129,0.19
2012-01-31,16558.74193548387,0.42,16558.74193548387,0.42
2012-02-29,17356.62068965517,0.31,17356.62068965517,0.31
2012-03-31,21911.09677419355,0.2,21911.09677419355,0.2
2012-04-30,20131.1,0.17,20131.1,0.17
2012-05-31,20859.03225806452,0.16,20859.03225806452,0.16
